Matrix_Size,N_Threads,Thread,Time
200,2,0,4447
200,2,1,4447
200,2,0,4453
200,2,1,4452
200,2,0,4408
200,2,1,4408
200,2,0,4439
200,2,1,4439
200,2,0,4443
200,2,1,4443
200,2,0,4395
200,2,1,4395
200,2,0,4432
200,2,1,4431
200,2,0,4419
200,2,1,4419
200,2,0,4438
200,2,1,4439
200,2,0,4404
200,2,1,4406
200,2,0,4399
200,2,1,4400
200,2,0,4415
200,2,1,4416
200,2,0,4393
200,2,1,4394
200,2,0,4401
200,2,1,4402
200,2,0,4394
200,2,1,4395
200,2,0,4405
200,2,1,4405
200,2,0,4439
200,2,1,4441
200,2,0,4403
200,2,1,4402
200,2,0,4478
200,2,1,4478
200,2,0,4408
200,2,1,4407
200,2,0,4390
200,2,1,4392
200,2,0,4390
200,2,1,4392
200,2,0,4411
200,2,1,4411
200,2,0,4394
200,2,1,4393
200,2,0,4384
200,2,1,4383
200,2,0,4439
200,2,1,4438
200,2,0,4396
200,2,1,4397
200,2,0,4430
200,2,1,4433
200,2,0,4424
200,2,1,4423
200,2,0,4661
200,2,1,4662
200,4,0,2232
200,4,1,2230
200,4,2,2231
200,4,3,2234
200,4,0,2237
200,4,1,2235
200,4,2,2235
200,4,3,2234
200,4,0,2242
200,4,1,2241
200,4,2,2242
200,4,3,2244
200,4,0,2238
200,4,1,2237
200,4,2,2235
200,4,3,2237
200,4,0,2229
200,4,1,2229
200,4,2,2228
200,4,3,2230
200,4,0,2248
200,4,1,2247
200,4,2,2247
200,4,3,2248
200,4,0,2232
200,4,1,2232
200,4,2,2231
200,4,3,2234
200,4,0,2234
200,4,1,2231
200,4,2,2232
200,4,3,2233
200,4,0,2236
200,4,1,2235
200,4,2,2235
200,4,3,2236
200,4,0,2239
200,4,1,2239
200,4,2,2238
200,4,3,2240
200,4,0,2230
200,4,1,2227
200,4,2,2227
200,4,3,2228
200,4,0,2237
200,4,1,2235
200,4,2,2234
200,4,3,2235
200,4,0,2238
200,4,1,2234
200,4,2,2235
200,4,3,2236
200,4,0,2233
200,4,1,2232
200,4,2,2231
200,4,3,2232
200,4,0,2245
